epoch,accuracy,loss,val_accuracy,val_loss
0,0.37669527530670166,1.3194442987442017,0.42363113164901733,1.2597929239273071
1,0.6570717096328735,0.9630957245826721,0.651296854019165,0.8991665840148926
2,0.8009964227676392,0.5690445899963379,0.6974063515663147,0.7853320837020874
3,0.8461112380027771,0.4185994863510132,0.7031700015068054,0.7922444343566895
4,0.8820924162864685,0.3330652415752411,0.6916426420211792,0.836026132106781
5,0.9053418040275574,0.2747775614261627,0.6916426420211792,0.8838828802108765
6,0.92637699842453,0.22529704868793488,0.6916426420211792,0.9505058526992798
7,0.9402158856391907,0.18853585422039032,0.6858789920806885,0.9948293566703796
8,0.9474121332168579,0.16368277370929718,0.6772334575653076,1.0759162902832031
9,0.9620813727378845,0.14190475642681122,0.6772334575653076,1.128438115119934
10,0.9651259183883667,0.12446160614490509,0.6743515729904175,1.1729975938796997
11,0.9640188217163086,0.12132209539413452,0.6570605039596558,1.231030821800232
12,0.9684472680091858,0.10464134812355042,0.6599423885345459,1.3151988983154297
13,0.971491813659668,0.09897985309362411,0.6570605039596558,1.3213365077972412
14,0.972045361995697,0.08767300844192505,0.6628242135047913,1.3786742687225342
15,0.9731525182723999,0.08386348187923431,0.6570605039596558,1.4449893236160278
16,0.975643515586853,0.08216467499732971,0.6657060384750366,1.4335416555404663
17,0.9739828109741211,0.08644860237836838,0.6426513195037842,1.5065604448318481
18,0.9767506122589111,0.07523705065250397,0.6541786789894104,1.533316731452942
19,0.976473867893219,0.07436065375804901,0.6570605039596558,1.5572606325149536
20,0.9748131632804871,0.0731029063463211,0.6570605039596558,1.5546568632125854
21,0.975089967250824,0.06912010908126831,0.6484149694442749,1.6231766939163208
22,0.975089967250824,0.0688215047121048,0.6599423885345459,1.668466329574585
23,0.976473867893219,0.06968700885772705,0.6599423885345459,1.7145299911499023
24,0.9775809645652771,0.061417143791913986,0.651296854019165,1.6710180044174194
